epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.40292,0.677,0.61429,1,0.53532,0.00010002,0.00010002,0.00010002
2,2.80732,0.51286,0.82857,1,0.53651,0.000198831,0.000198831,0.000198831
3,4.19049,0.31474,0.91429,1,0.26858,0.000278389,0.000278389,0.000278389
4,5.65901,0.26652,0.92857,1,0.13296,0.000338693,0.000338693,0.000338693
5,7.06671,0.14914,0.94286,1,0.07165,0.000379743,0.000379743,0.000379743
6,8.42682,0.13692,0.95714,1,0.11175,0.000401539,0.000401539,0.000401539
7,9.82336,0.22341,0.92857,1,0.12325,0.000404081,0.000404081,0.000404081
8,11.169,0.09466,0.91429,1,0.13924,0.000387369,0.000387369,0.000387369
9,12.4921,0.11445,0.9,1,0.2381,0.000351404,0.000351404,0.000351404
10,13.8448,0.08746,0.92857,1,0.12134,0.000296184,0.000296184,0.000296184
11,15.2226,0.07908,0.95714,1,0.13611,0.000221711,0.000221711,0.000221711
12,16.5576,0.04772,0.95714,1,0.54442,0.000127984,0.000127984,0.000127984
