epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.64973,0.80297,0.5,1,0.69573,0.00010002,0.00010002,0.00010002
2,5.22761,0.55479,0.9,1,0.39094,0.000214565,0.000214565,0.000214565
3,7.92853,0.40917,0.8,1,0.32963,0.000326799,0.000326799,0.000326799
4,10.6413,0.23076,0.9,1,0.23462,0.000436722,0.000436722,0.000436722
5,13.1914,0.14146,0.9,1,0.20077,0.000544336,0.000544336,0.000544336
6,15.935,0.09926,0.9,1,0.14073,0.000649638,0.000649638,0.000649638
7,18.6135,0.09246,1,1,0.09903,0.00075263,0.00075263,0.00075263
8,21.1046,0.10504,0.95,1,0.09876,0.000853312,0.000853312,0.000853312
9,23.6148,0.08117,0.95,1,0.12341,0.000951684,0.000951684,0.000951684
10,26.1671,0.06647,0.9,1,0.13503,0.00104774,0.00104774,0.00104774
11,28.9156,0.22012,0.9,1,0.29657,0.00114149,0.00114149,0.00114149
12,31.3252,0.11493,0.8,1,0.45741,0.00123293,0.00123293,0.00123293
13,34.011,0.21444,0.9,1,0.16744,0.00132206,0.00132206,0.00132206
14,36.7074,0.10626,0.7,1,0.50089,0.00140888,0.00140888,0.00140888
15,39.3417,0.14457,0.7,1,0.53576,0.00143595,0.00143595,0.00143595
16,41.9524,0.11242,0.75,1,0.41366,0.00141945,0.00141945,0.00141945
17,44.6806,0.23555,0.85,1,0.41623,0.00140295,0.00140295,0.00140295
18,47.3854,0.3208,0.9,1,0.13451,0.00138644,0.00138644,0.00138644
19,50.0439,0.27729,0.8,1,0.55391,0.00136994,0.00136994,0.00136994
20,52.7038,0.24326,0.8,1,0.40385,0.00135344,0.00135344,0.00135344
21,55.0858,0.2933,0.7,1,0.5834,0.00133693,0.00133693,0.00133693
22,57.4132,0.27876,0.85,1,0.63048,0.00132043,0.00132043,0.00132043
23,59.7987,0.23559,0.8,1,0.45597,0.00130393,0.00130393,0.00130393
24,62.1654,0.2155,0.8,1,0.40225,0.00128742,0.00128742,0.00128742
25,64.5404,0.19059,0.8,1,0.40919,0.00127092,0.00127092,0.00127092
26,66.9196,0.18032,0.8,1,0.34972,0.00125442,0.00125442,0.00125442
27,69.3079,0.22599,0.85,1,0.39942,0.00123791,0.00123791,0.00123791
28,71.6603,0.14382,0.85,1,0.20095,0.00122141,0.00122141,0.00122141
29,73.9582,0.15671,0.95,1,0.13577,0.00120491,0.00120491,0.00120491
30,76.3757,0.14706,0.95,1,0.08365,0.0011884,0.0011884,0.0011884
